id,kode,path,nama,status
1,"home","/","Home",1
2,"home-auth","/home","Home",1
3,"login","/login","Login",1
4,"logout","/logout", None,1
5,"password","/password","Change password",1
6,"user","/user","Daftar Users",1
7,"user-add","/user/add","Tambah user",1
8,"user-edit","/user/{id}/edit","Edit user",1
9,"user-delete","/user/{id}/delete","Hapus user",1
10,"user-act","/user/{act}/act","Act user",1
11,"group","/group","Daftar group",1
12,"group-add","/group/add","Tambah group",1
13,"group-edit","/group/{id}/edit","Edit group",1
14,"group-delete","/group/{id}/delete","Hapus group",1
15,"group-act","/group/{act}/act","Act Groups",1
16,"user-group","/user/group","Daftar User groups",1
17,"user-group-add","/user/group/add","Tambah user groups",1
18,"user-group-edit","/user/group/{id}/edit","Edit user groups",1
19,"user-group-delete","/user/group/{id}/delete","Hapus user groups",1
20,"user-group-act","/user/group/{act}/act","Act User-Groups",1
21,"routes","/routes","Routes",1
22,"routes-add","/routes/add","Tambah route",1
23,"routes-edit","/routes/{id}/edit","Edit route",1
24,"routes-delete","/routes/{id}/delete","Hapus route",1
25,"routes-act","/routes/{act}/act","Act route",1
26,"group-routes","/group/routes","Group Permission",1
27,"group-routes-add","/group/routes/add","Tambah group permission",1
28,"group-routes-edit","/group/routes/{id}/edit","Edit grouppermission",1
29,"group-routes-delete","/group/routes/{id}/delete","Hapus group permission",1
30,"group-routes-act","/group/routes/{act}/act","Act grouppermission",1
31,"upload-logo","/upload/logo","Unggah Logo",1
